#separator:tab
#html:true
#columns:Front	Back	Tags
Front	Back	Tags
Trying harder at fruit - more service, less sin - but feeling dry inside. Where does fruit come from?	Stay connected - fruit from the vine.<br><br><a href="https://www.jorap.com/notes/abide-in-me/">Read note: Abide in Me</a>	jorap-notes Eternal Principles Sanctification
No prayer, no Scripture all week - patience snapped at someone. Apart from the vine, what can I produce?	Nothing good - reconnect now.<br><br><a href="https://www.jorap.com/notes/abide-in-me/">Read note: Abide in Me</a>	jorap-notes Eternal Principles Sanctification
Pruning hurts - fear God revoked my place. What does pruning actually mean?	It refines - stay on the vine.<br><br><a href="https://www.jorap.com/notes/abide-in-me/">Read note: Abide in Me</a>	jorap-notes Eternal Principles Sanctification
Self-help spiritual growth plan instead of staying connected. What's missing?	Receive - drop willpower alone.<br><br><a href="https://www.jorap.com/notes/abide-in-me/">Read note: Abide in Me</a>	jorap-notes Eternal Principles Sanctification
Thumb on news feed before I opened Scripture today. First move to stay connected?	Scripture and prayer - connect first.<br><br><a href="https://www.jorap.com/notes/abide-in-me/">Read note: Abide in Me</a>	jorap-notes Eternal Principles Sanctification
Prayers feel misaligned with God's will. First fix besides staying connected?	Read His words - let Scripture shape the ask.<br><br><a href="https://www.jorap.com/notes/abide-in-me/">Read note: Abide in Me</a>	jorap-notes Eternal Principles Sanctification
Email and inbox before any quiet time with God most mornings. How do I keep approaching the Father?	Keep coming - ask again today.<br><br><a href="https://www.jorap.com/notes/ask-seek-knock/">Read note: Ask Seek Knock</a>	jorap-notes Eternal Principles Prayer
Prayer feels like earning answers by performance. How am I approaching the Father?	Child asking a parent.<br><br><a href="https://www.jorap.com/notes/ask-seek-knock/">Read note: Ask Seek Knock</a>	jorap-notes Eternal Principles Prayer
Asked for something harmful - bitter God didn't comply. What does a wise Father give?	What&#x27;s good - not always what I asked.<br><br><a href="https://www.jorap.com/notes/ask-seek-knock/">Read note: Ask Seek Knock</a>	jorap-notes Eternal Principles Prayer
Rushing through prayer to get to my list. What comes first?	His name, kingdom, will - then my asks.<br><br><a href="https://www.jorap.com/notes/ask-seek-knock/">Read note: Ask Seek Knock</a>	jorap-notes Eternal Principles Prayer
Stopped asking after one unanswered week. What's the move?	Ask again - keep seeking.<br><br><a href="https://www.jorap.com/notes/ask-seek-knock/">Read note: Ask Seek Knock</a>	jorap-notes Eternal Principles Prayer
